Date, Avg.Temp(°F),StateName
2001,49.5,Alabama
2002,51.0,Alabama
2003,63.5,Alabama
2004,62.0,Alabama
2005,68.9,Alabama
2006,76.9,Alabama
2007,80.9,Alabama
2008,80.2,Alabama
2009,74.3,Alabama
2010,66.9,Alabama
2011,58.4,Alabama
2012,45.9,Alabama
2101,46.6,Alabama
2102,46.7,Alabama
2103,59.6,Alabama
2104,61.6,Alabama
2105,69.4,Alabama
2106,77.0,Alabama
2107,79.3,Alabama
2108,80.0,Alabama
2109,73.9,Alabama
2110,67.3,Alabama
2111,52.2,Alabama
2112,56.8,Alabama
2201,44.0,Alabama
2202,50.1,Alabama
2203,57.4,Alabama
2204,62.5,Alabama
2205,73.5,Alabama
2206,80.2,Alabama
2207,81.6,Alabama
2208,79.3,Alabama
2209,73.8,Alabama
2210,61.2,Alabama
2211,55.3,Alabama
2212,49.0,Alabama
2301,51.4,Alabama
2001,-6.4,Alaska
2002,1.5,Alaska
2003,12.0,Alaska
2004,27.5,Alaska
2005,43.3,Alaska
2006,50.5,Alaska
2007,53.2,Alaska
2008,52.1,Alaska
2009,42.0,Alaska
2010,28.9,Alaska
2011,14.5,Alaska
2012,10.6,Alaska
2101,10.6,Alaska
2102,1.0,Alaska
2103,9.1,Alaska
2104,23.9,Alaska
2105,40.3,Alaska
2106,50.9,Alaska
2107,53.9,Alaska
2108,49.4,Alaska
2109,39.4,Alaska
2110,27.9,Alaska
2111,4.6,Alaska
2112,6.8,Alaska
2201,3.6,Alaska
2202,8.6,Alaska
2203,16.7,Alaska
2204,25.1,Alaska
2205,39.9,Alaska
2206,52.7,Alaska
2207,53.4,Alaska
2208,50.1,Alaska
2209,42.9,Alaska
2210,28.6,Alaska
2211,16.4,Alaska
2212,7.4,Alaska
2301,10.9,Alaska
2001,43.7,Arizona
2002,45.9,Arizona
2003,51.0,Arizona
2004,59.3,Arizona
2005,70.5,Arizona
2006,76.8,Arizona
2007,82.8,Arizona
2008,84.1,Arizona
2009,75.6,Arizona
2010,66.2,Arizona
2011,53.5,Arizona
2012,42.0,Arizona
2101,42.6,Arizona
2102,46.5,Arizona
2103,49.4,Arizona
2104,61.2,Arizona
2105,67.9,Arizona
2106,80.6,Arizona
2107,81.5,Arizona
2108,79.5,Arizona
2109,74.8,Arizona
2110,59.9,Arizona
2111,55.8,Arizona
2112,45.6,Arizona
2201,43.6,Arizona
2202,44.2,Arizona
2203,51.8,Arizona
2204,60.8,Arizona
2205,68.6,Arizona
2206,78.5,Arizona
2207,82.0,Arizona
2208,78.6,Arizona
2209,75.5,Arizona
2210,61.6,Arizona
2211,46.0,Arizona
2212,43.0,Arizona
2301,40.5,Arizona
2001,43.9,Arkansas
2002,44.5,Arkansas
2003,56.5,Arkansas
2004,58.8,Arkansas
2005,66.8,Arkansas
2006,76.4,Arkansas
2007,81.3,Arkansas
2008,77.8,Arkansas
2009,71.8,Arkansas
2010,59.4,Arkansas
2011,54.0,Arkansas
2012,42.6,Arkansas
2101,41.4,Arkansas
2102,34.8,Arkansas
2103,55.2,Arkansas
2104,58.4,Arkansas
2105,66.8,Arkansas
2106,76.9,Arkansas
